sid,pid
1215,8977
1009,8977
986,9016
1306,8975
986,9026
1113,9026
1224,9026
1116,9026
1225,9026
986,9015
1113,9015
1224,9015
1116,9015
1225,9015
986,9014
909,9014
1113,9014
1116,9014
1306,8979
915,9024
1306,8981
986,8882
912,8882
912,8885
1221,8897
1220,8897
690,8897
1214,8897
1217,8897
1221,8893
1212,8893
1220,8893
916,8893
1067,8893
1210,8900
1212,8900
1220,8900
916,8900
1067,8900
1221,8894
1212,8894
1220,8894
916,8894
1067,8894
1218,8902
1212,8902
1066,8902
1214,8902
1225,8902
907,8898
986,8898
1115,8898
1210,8898
1224,8898
986,8896
1115,8896
909,8896
1224,8896
1214,8896
1117,8797
986,8798
1111,8798
1222,8798
1211,8798
1118,8798
986,8879
909,8879
1113,8879
1116,8879
1221,8875
986,8875
1210,8875
1225,8875
1221,8877
986,8877
1210,8877
1225,8877
1221,8876
986,8876
1219,8876
690,8876
1120,8876
1306,8866
1113,8994
1222,8994
163,8994
1215,8994
1009,8994
1221,8999
986,8999
1219,8999
1224,8999
1225,8999
1306,8921
986,8990
909,8990
1113,8990
1116,8990
1112,8990
690,9009
1216,9009
1215,9009
1008,9009
1067,9009
1219,8932
1111,8932
1119,8932
1224,8932
1215,8932
1219,8929
1111,8929
1119,8929
1224,8929
1215,8929
1221,8933
907,8933
1210,8933
1212,8933
1225,8933
986,8938
1219,8938
1066,8938
1224,8938
163,8938
986,8944
1212,8944
1117,8944
1214,8944
1225,8944
986,8939
1212,8939
1117,8939
1214,8939
1225,8939
1221,8942
1113,8942
912,8942
1118,8942
1008,8942
1219,8934
1111,8934
1215,8934
1210,8957
912,8957
1217,8957
907,8956
912,8956
1118,8956
163,8956
1215,8956
1210,8961
1113,8961
1222,8961
1223,8961
1216,8961
1306,8954
985,8960
909,8960
1224,8960
1214,8960
1066,6582
1111,6582
1120,6582
985,6581
1114,6581
985,6580
1119,6580
1116,6580
1007,6580
1012,6580
916,6606
1112,6606
688,6606
34,6606
693,6606
907,6600
986,6600
909,6600
1120,6599
1066,6603
909,6603
1111,6603
1120,6603
1120,6643
1066,6641
909,6641
912,6641
1120,6641
985,6687
1115,6687
1114,6687
987,6687
1119,6687
909,6979
1113,6979
1120,6979
1010,6979
60,6979
1114,6980
163,6980
58,6980
1007,6980
1011,6980
1114,6981
163,6981
58,6981
1007,6981
1011,6981
1114,6982
163,6982
58,6982
1007,6982
1011,6982
986,6656
1066,6670
1111,6670
1120,6670
687,6667
916,6667
1112,6667
1067,6667
690,6672
912,6672
1119,6672
1120,6672
916,6672
907,6681
986,6681
1011,6681
1111,6556
1118,6556
58,6556
1007,6556
693,6556
1120,6558
985,6709
1110,6709
1115,6709
1113,6709
1012,6709
915,6710
1120,6721
