id,boletin,fecha,resumen,estado,url
6833,10135-07,2015-06-17,Modifica diversos cuerpos legales en lo relativo a la denominación del privilegio de pobreza.,suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10135-07
6834,10145-07,2015-06-18,Tipifica y sanciona los delitos informáticos y deroga la ley N° 19.223.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10145-07
6835,10142-13,2015-06-18,"Modifica el Código del Trabajo para determinar la forma de distribución y pago de propinas correspondientes a trabajadores que realizan atención de público, en los establecimientos que señala.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10142-13
6836,10146-16,2015-06-18,Modifica el reglamento de la Cámara de Diputados con el objeto de crear una comisión especial de tramitación legislativa durante el receso parlamentario.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10146-16
6837,10159-06,2015-06-18,Regula ajustes a la hora oficial de Chile para la determinación del horario de verano.,suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10159-06
6838,10143-03,2015-06-18,"Modifica la ley N° 19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, para establecer un límite máximo al alza de las tarifas o valor de pasajes del transporte interprovincial, interurbano y rural de pasajeros, en épocas de alta demanda.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10143-03
6839,10160-07,2015-06-18,"Dispone la dedicación exclusiva al cargo, de los abogados consejeros del Consejo de Defensa del Estado.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10160-07
6840,10155-07,2015-06-18,Tipifica el delito de corrupción entre particulares y modifica disposiciones del Código Penal relativas a delitos funcionarios.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10155-07
6841,10157-11,2015-06-18,Modifica la ley N°19.664 en materia de sanciones a los profesionales de salud que infrinjan las disposiciones sobre programas de especialización financiados con fondos públicos.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10157-11
6842,10154-07,2015-06-23,Fortalece el carácter público y democrático de los partidos políticos y facilita su modernización.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10154-07
6843,10147-04,2015-06-24,"Impide a los establecimientos educacionales exigir a los estudiantes la adquisición de textos escolares determinados, en carácter de ""obligatorios"".",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10147-04
6844,10151-06,2015-06-24,"Modifica la ley N° 20.500 sobre asociaciones y participación ciudadana en la gestión pública, para exigir publicación de los estados financieros y contables actualizados de las personas jurídicas que regula.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10151-06
6845,10152-03,2015-06-24,"Modifica la ley N° 19.496 sobre protección de los derechos del consumidor, estableciendo exigencias en materia de otorgamiento de créditos a estudiantes.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10152-03
6846,10150-15,2015-06-24,"Modifica la ley N° 18.290, de Tránsito, para exigir la incorporación de una señal sonora en los semáforos, a favor de las personas invidentes.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10150-15
6847,10153-11,2015-06-24,"Establece la obligación de los establecimientos de comercio que indica, de publicitar los efectos jurídicos de la conducción en estado de ebriedad.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10153-11
6848,10148-18,2015-06-24,"Modifica las leyes N°s. 14.908 y 19.968, para establecer un mecanismo eficaz de pago de las pensiones alimenticias por parte de trabajadores dependientes.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10148-18
6849,10144-01,2015-06-25,Establece regulación de la actividad apícola.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10144-01
6850,10140-07,2015-06-25,"Previene y sanciona los conflictos de intereses, y modifica normas sobre inhabilidades e incompatibilidades en el ejercicio de la función pública.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10140-07
6851,10156-15,2015-06-26,Establece el envío de mensajería telefónica en casos de pre-emergencia o emergencia ambiental.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10156-15
6852,10167-07,2015-06-30,Modifica el Código Penal para tipificar el delito de maltrato de obra a personal de bomberos en actos de servicio.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10167-07
6853,10163-14,2015-06-30,Transparencia del mercado del suelo e incrementos de valor por ampliaciones del límite urbano,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10163-14
6854,9842-03,2015-07-01,"Modifica la ley N° 19.886, de Bases sobre Contratos Administrativos de Suministro y Prestación de Servicios, con el objeto de asegurar un porcentaje de adjudicación en beneficio de las micro, pequeñas y medianas empresas",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9842-03
6855,9843-29,2015-07-01,"Modifica la ley N°19.712, del Deporte, disponiendo la incorporación de las organizaciones comunitarias deportivas, en el registro que indica del Instituto Nacional de Deportes",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9843-29
6856,9844-13,2015-07-01,"Modifica el Código del Trabajo, sancionando el no pago oportuno del finiquito de contrato de trabajo",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9844-13
6857,9841-07,2015-07-01,Modifica el Código Penal para sancionar la coordinación delictual orientada a marcar a las víctimas de robo con intimidación.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9841-07
6858,9972-07,2015-07-04,"Reforma constitucional que suprime el fuero parlamentario y el de los intendentes, gobernadores y presidentes de los consejos regionales.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9972-07
6859,9973-11,2015-07-04,Concede beneficios al personal de la atención primaria de salud.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9973-11
6860,9971-10,2015-07-04,"Aprueba el Acuerdo entre el Gobierno de la República de Chile y el Gobierno de la Mancomunidad de Domínica sobre Exención de Requisito de Visa para Titulares de Pasaportes Diplomáticos y Oficiales, suscrito en Roseau, Mancomunidad de Domínica, el 23 de junio de 2014.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9971-10
6861,10039-11,2015-07-05,"Modifica la ley N° 20.606, sobre Composición Nutricional de los Alimentos y su Publicidad, para exigir un etiquetado especial en el caso de los alimentos genéticamente modificados.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10039-11
6862,10044-18,2015-07-05,"Modifica la ley N° 20.066, que Establece ley de Violencia Intrafamiliar, en materia de alcance de la protección de sus normas y de sanciones aplicables.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10044-18
6863,10240-08,2015-07-08,Establece nuevos sistemas de transmisión de energía eléctrica y crea un organismo coordinador independiente del sistema eléctrico nacional.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10240-08
6864,10290-07,2015-07-09,Modifica el Código de Procedimiento Civil para proteger los derechos del adquirente de un bien adjudicado en remate,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10290-07
6865,10331-08,2015-07-10,Modifica la Ley General de Servicios Eléctricos para imponer a la empresa distribuidora de energía la obligación de solventar el retiro y reposición del empalme y medidor en caso de inutilización de las instalaciones por fuerza mayor,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10331-08
6866,10329-13,2015-07-10,Facilita la entrega de propinas en establecimientos de comercio.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10329-13
6867,10335-07,2015-07-10,Modifica el Código Penal en materia de legítima defensa,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10335-07
6868,10334-18,2015-07-10,"Modifica la ley Nº 14.908, sobre Abandono de Familia y Pago de Pensiones Alimenticias, respecto del alimentario mayor de 21 años a que se refiere el artículo 332 del Código Civil",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10334-18
6869,10336-07,2015-07-10,"Modifica la ley N°18.918, orgánica constitucional del Congreso Nacional, para establecer el deber del Poder Judicial de informar a la Comisión de Seguridad Ciudadana de la Cámara de Diputados sobre el porcentaje de reincidencia que se registra en el sistema procesal penal",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10336-07
6870,10333-16,2015-07-10,Modifica el Reglamento de la Cámara de Diputados para regular los días destinados a labores legislativas y representativas,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10333-16
6871,10332-11,2015-07-10,"Modifica el Código Sanitario para permitir que productos alimenticios que indica, sean donados a entidades de beneficiencia y organizaciones sociales",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10332-11
6872,10189-06,2015-07-13,"Modifica la ley N°18.695, orgánica constitucional de municipalidades, para disminuir el quórum necesario para solicitar a la autoridad municipal el cierre de calles y pasajes.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10189-06
6873,10192-24,2015-07-14,Establece el día nacional del peluquero.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10192-24
6874,10191-11,2015-07-14,"Modifica el Código Sanitario, en lo referido al ámbito del ejercicio profesional de la matronería.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10191-11
6875,10190-21,2015-07-14,Introduce diversas modificaciones a la Ley General de Pesca y a la ley N°20.657.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10190-21
6876,10196-17,2015-07-15,"Otorga un aporte único, de carácter reparatorio, a las víctimas de prisión política y tortura, reconocidas por el Estado de Chile.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10196-17
6877,10195-29,2015-07-15,Establece el 4 de julio como día nacional del fútbol.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10195-29
6878,10199-11,2015-07-20,Exige que todas las prestaciones de salud tengan establecido un arancel.,suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10199-11
6879,10200-29,2015-07-20,"Modifica la ley N°19.327, sobre derechos y deberes en los espectáculos del fútbol profesional en materia de atribuciones de Carabineros en los recintos deportivos.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10200-29
6880,10201-13,2015-07-21,"Exime de la obligación de efectuar cotizaciones de salud a pensionados mayores de 65 años, facilita la tramitación de prestaciones de vejez y otorga otros beneficios que indica.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10201-13
6881,10202-07,2015-07-21,Modifica el Código Penal para aumentar la pena asignada al robo en jardines infantiles y salas cunas.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10202-07
6882,10198-11,2015-07-21,Modifica el Código Sanitario en materia de disposición de alimentos para evitar su desperdicio.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10198-11
6883,10203-14,2015-07-22,"Modifica el decreto ley N° 2.833 en materia de alzamiento de prohibiciones de gravar, enajenar y celebrar actos y contratos en viviendas financiadas mediante subsidio habitacional.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10203-14
6884,10204-07,2015-07-22,"Modifica la ley Nº 20.393, extendiendo la responsabilidad penal de las personas jurídicas a ciertos delitos tributarios y estableciendo nuevas penas.",suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10204-07
6885,10208-07,2015-07-23,Modifica los artículos 261 y 269 del Código Penal para sancionar a quienes maltraten de obra a funcionarios públicos en el ejercicio de sus funciones fiscalizadoras.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10208-07
6886,10209-09,2015-07-28,Regula la publicidad vial.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10209-09
6887,10211-15,2015-07-30,"Modifica la ley N°18.290, de tránsito, para establecer como sanción gravísima el utilizar indebidamente estacionamientos destinados a vehículos para personas con discapacidad.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10211-15
6888,10210-29,2015-07-30,"Modifica la ley N°19.327, sobre derechos y deberes en los espectáculos de fútbol profesional, para obligar a los organizadores de tales espectáculos a contar con avisos que señalen las sanciones a que se encuentran expuestos quienes infrinjan la citada ley.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10210-29
6889,9846-15,2015-08-01,"Modifica la ley N°18.290, de Tránsito, sancionando el uso de dispositivos de telecomunicaciones, en cualquiera de sus funcionalidades, durante la conducción de un vehículo",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9846-15
6890,9850-18,2015-08-01,"Modifica la ley N° 19.947, de Matrimonio Civil, y el Código Civil, en el sentido de aumentar a dieciocho años la edad mínima para contraer matrimonio",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9850-18
6891,9848-06,2015-08-01,Concede la nacionalidad por gracia a la religiosa Augusta Pedrielli Cleanti,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9848-06
6892,9855-06,2015-08-01,"Declara como feriado el día 12 de febrero para la comuna de Talca, en conmemoración a la firma del Acta de la Independencia de Chile",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9855-06
6893,9847-07,2015-08-01,Reforma constitucional en materia de nacionalización por ley en relación con la condena por delito que merezca pena aflictiva,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9847-07
6894,9974-29,2015-08-04,"Modifica la ley N° 19.327, con el objeto de sancionar al dirigente de una organización deportiva con la inhabilitación para desempeñarse como tal en el caso que indica.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9974-29
6895,9975-07,2015-08-04,Reforma constitucional que establece la iniciativa ciudadana en la formación de la ley.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9975-07
6896,9976-05,2015-08-04,"Modifica la ley N° 19.886, de Bases sobre Contratos Administrativos de Suministro y Prestación de Servicios, para fortalecer la regulación que prohíbe a la Administración fragmentar las contrataciones.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9976-05
6897,10095-06,2015-08-06,Modifica la ley Nº 19.995 para excluir los bingos de la categoría de juegos de azar.,suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10095-06
6898,10094-12,2015-08-06,Establece el día 28 de febrero de cada año como el Día Nacional de las Vertientes.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10094-12
6899,10181-06,2015-08-07,Establece la hora oficial para todo el territorio nacional.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10181-06
6900,10184-15,2015-08-07,Regular la circulación de vehículos motorizados por causa de congestión vehicular o contaminación atmosférica.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10184-15
6901,10180-12,2015-08-07,Modifica el Código Sanitario para prohibir el uso de leña y otros derivados de la madera o de la biomasa en la Región Metropolitana.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10180-12
6902,10183-04,2015-08-07,"Modifica la ley N° 20.370, General de Educación, para promover el respeto por la orientación sexual y la identidad de género de los niños, niñas y adolescentes en su comunidad educativa.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10183-04
6903,10291-04,2015-08-09,"Autoriza erigir un monumento en memoria del poeta Jorge Teillier, en la comuna de Lautaro.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10291-04
6904,10293-15,2015-08-09,Autoriza a usuarios del transporte público a tomar fotografías y videos en estaciones y paraderos,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10293-15
6905,10292-07,2015-08-09,Exige que proyectos de ley y determinadas normas jurídicas generales contengan informes sobre los efectos estimativos de tales iniciativas en la productividad y competitividad,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10292-07
6906,10259-18,2015-08-13,Crea el Registro Nacional de Deudores de Pensiones Alimenticias.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10259-18
6907,10257-07,2015-08-13,Sanciona al  que  explota eróticamente la imagen infantil y/o adolescente y al que ejerza violencia sexual exacerbadora de tal erotismo.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10257-07
6908,10258-07,2015-08-13,Modifica el Código Penal para tipificar el delito de rayado en la propiedad pública y privada.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10258-07
6909,10260-06,2015-08-13,"Modifica la Ley de Bases Generales de la Administración del Estado, para incorporar consideraciones socioculturales en el diseño e implementación de políticas públicas.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10260-06
6910,10256-19,2015-08-13, Modifica  el  Código Aeronáutico en materia de aeronaves sin piloto,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10256-19
6911,10261-04,2015-08-17,Permite la transformación de los institutos profesionales y centros de formación técnica en personas jurídicas de aquellas regidas por el Título XXXIII del Libro I del Código Civil.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10261-04
6912,10262-04,2015-08-18,"Modifica la ley N°20.370, General de Educación, para establecer como deber de los establecimientos educacionales el incorporar en sus mallas curriculares contenidos o módulos de educación financiera.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10262-04
6913,10263-07,2015-08-19,"Modifica la ley N°20.084, en materias de procedimiento, medidas accesorias y determinación de las penas aplicables a los adolescentes infractores de la ley penal.",suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10263-07
6914,10264-07,2015-08-19,Modifica la Ley Orgánica Constitucional del Congreso Nacional y otros cuerpos legales en lo relativo a probidad y transparencia.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10264-07
6915,10265-05,2015-08-19,"Modifica la ley N°19.886, ley de bases sobre contratos administrativos de suministro y prestación de servicios, para incorporar nuevo criterio de adjudicación que indica",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10265-05
6916,10266-13,2015-08-19,Modifica el Código del Trabajo para incorporar a las y los modelos de pasarela y publicitarios en el estatuto contractual de los trabajadores de artes y espectáculos,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10266-13
6917,10268-12,2015-08-20,"Modifica la ley N°19.300, sobre Bases Generales del Medio Ambiente, para reconocer expresamente al olor como agente contaminante",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10268-12
6918,10271-06,2015-08-20,"Declara feriado el día 10 de agosto para la Región de Tarapacá, con motivo de la fiesta religiosa de San Lorenzo de Tarapacá",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10271-06
6919,10269-06,2015-08-20,Prohíbe a autoridades que indica acceder a beneficios financiados con recursos públicos,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10269-06
6920,10267-07,2015-08-20,Reforma constitucional que establece el deber del Estado de promover la formación cívica en los niveles educacionales básico y medio,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10267-07
6921,10276-07,2015-08-31,"Modifica la ley N°20.730, que regula el Lobby y las gestiones que representen intereses particulares ante las autoridades y funcionarios, para excluir de su ámbito de aplicación las actuaciones de las entidades que indica",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10276-07
6922,10270-07,2015-08-31,Modifica el artículo 43 de la ley Nº 20.000 en materia de emisión del protocolo de análisis químico relativo al estupefaciente incautado.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10270-07
6923,10275-03,2015-08-31,"Modifica la ley N°19.496, sobre Protección de los Derechos del Consumidor, para ampliar el plazo para retractarse en los contratos celebrados por medios electrónicos o por cualquier otra forma de comunicación a distancia",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10275-03
6924,10274-07,2015-08-31,Modifica el Código Penal para establecer como circunstancia agravante el provocar una persecución policial en los casos que indica,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10274-07
6925,9849-07,2015-09-01,Modifica el Código Penal para aumentar las sanciones en el delito de lesiones cometido contra infantes y adultos mayores,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9849-07
6926,9912-10,2015-09-03,"Precisa la definición del ámbito espacial contenida en el artículo 2°, N° 24, de la ley General de Pesca y Acuicultura.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9912-10
6927,9913-05,2015-09-03,Introduce modificaciones en materias de personal para funcionarios públicos de las instituciones que se indican.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9913-05
6928,9980-03,2015-09-04,"Modifica la ley N° 19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, para permitir la transferencia de un pasaje aéreo, por parte de su titular a un tercero, en las condiciones que indica.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9980-03
6929,9981-07,2015-09-04,"Modifica la ley N°20.285, sobre Acceso a la Información Pública, extendiendo su aplicación a los partidos políticos.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9981-07
6930,10092-07,2015-09-06,Reforma constitucional sobre concesión de pasivos mineros,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10092-07
6931,10097-06,2015-09-06,"Interpreta la ley Nº 18.695, Orgánica Constitucional de Municipalidades, en orden a permitir la realización de bingos y rifas con fines benéficos.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10097-06
6932,10109-15,2015-09-06,"Modifica la ley N° 18.290, de Tránsito, para agravar las penas y sanciones cuando la infracción se cometiere conduciendo a exceso de velocidad.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10109-15
6933,10091-14,2015-09-06,"Modifica la ley N° 19.537 sobre copropiedad inmobiliaria, estableciendo requisitos para los administradores de condominios, y otras materias que indica",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10091-14
6934,10090-21,2015-09-06,"Modifica la ley N° 18.892, ley General de Pesca y Acuicultura, postergando la permanencia en el registro artesanal, en casos de emergencia o catástrofe",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10090-21
6935,10093-07,2015-09-06,Reforma constitucional sobre patrimonio histórico cultural de la nación,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10093-07
6936,10110-07,2015-09-06,"Modifica la ley N° 18.918, orgánica constitucional del Congreso Nacional, para facultar a las comisiones especiales investigadoras a citar a ex Ministros de Estado.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10110-07
6937,10108-12,2015-09-06,"Modifica la ley N° 19.300 de Bases generales del medio ambiente, para someter al sistema de evaluación de impacto ambiental el transporte, recepción, acopio y embarque de minerales.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10108-12
6938,10096-12,2015-09-06,"Modifica la ley N°19.300, sobre Bases Generales del Medio Ambiente, y otros cuerpos legales, a fin de considerar el ordenamiento territorial y el manejo integrado de cuencas hidrográficas, para la conservación, protección y su uso racional.",suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10096-12
6939,10089-07,2015-09-06,"Modifica la ley orgánica constitucional del Tribunal Constitucional, otorgándole atribuciones para conocer los casos de infracción a las normas de probidad y transparencia que rigen el actuar de los parlamentarios",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10089-07
6940,10111-03,2015-09-06,"Modifica la ley N° 19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, para otorgar preferencia en la tramitación judicial de las acciones basadas en intereses colectivos o difusos.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10111-03
6941,10113-04,2015-09-06,Modifica disposiciones legales que indica para establecer un sistema de selección con inclusión en los establecimientos educacionales reconocidos como tradicionales o de alta exigencia.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10113-04
6942,10186-07,2015-09-07,Modifica el Código Penal en materia de delitos de violación y estupro.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10186-07
6943,10185-06,2015-09-07,Modifica cuerpos legales que indica para permitir la inscripción de pactos electorales diversos en elecciones municipales.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10185-06
6944,10297-17,2015-09-09,Establece medidas de reparación a las víctimas de las violaciones a los Derechos Humanos,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10297-17
6945,10294-15,2015-09-09,Modifica la Ley General de Telecomunicaciones para establecer sanciones a la decodificación ilegal de los servicios limitados de televisión.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10294-15
6946,10295-31,2015-09-09,Modifica diversos cuerpos legales para establecer medidas que favorezcan la contratación de personas en condición de espectro autista en el Sector Público,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10295-31
6947,10296-03,2015-09-09,"Impone a establecimientos comerciales que comercialicen las denominadas ""gift card"" la obligación de llevar un registro de los consumidores y solicitantes de tales tarjetas",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10296-03
6948,10299-13,2015-09-09,Modifica el Código del Trabajo para extender permiso laboral en favor del trabajador a cargo de un adulto mayor que sufre enfermedad grave,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10299-13
6949,10337-11,2015-09-10,Regula la entrega de alimentos a organizaciones sin fines de lucro.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10337-11
6950,10378-02,2015-09-11,"Modifica leyes orgánicas constitucionales de las Fuerzas Armadas y de Carabineros y la ley orgánica de la Policía de investigaciones, para incorporar en la formación de los miembros de dichas instituciones el respeto y protección de los Derechos Humanos",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10378-02
6951,10381-11,2015-09-11,Crea una asignación destinada a incentivar el desempeño con dedicación exclusiva de los profesionales de los servicios de salud que indica,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10381-11
6952,10377-07,2015-09-11,Modifica el Código Penal para tipificar como delito la colusión y extiende la responsabilidad penal a la persona jurídica,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10377-07
6953,10434-04,2015-09-12,"Modifica la ley N°20.370, Ley General de Educación, para incorporar, en los establecimientos educacionales que indica, un plan de formación en materia ambiental",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10434-04
