id,boletin,fecha,resumen,estado,url
7744,11419-06,2017-04-09,"Modifica la ley N° 19.418, sobre Juntas de Vecinos y demás Organizaciones Comunitarias, para establecer la atención preferente a los dirigentes en la realización de trámites de gestión gremial",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11419-06
7745,11418-12,2017-04-09,Prohíbe la utilización de bolsas plásticas en los establecimientos de comercio,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11418-12
7746,11465-22,2017-04-10,Perfecciona los beneficios otorgados a bomberos por accidentes y enfermedades y la demás legislación aplicable a dichas instituciones,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11465-22
7747,11466-07,2017-04-10,"Modifica el decreto ley N° 321, de 1925, que Establece la Libertad Condicional para los Penados, con el objeto de hacer aplicable dicho beneficio únicamente a quien haya tenido irreprochable conducta anterior",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11466-07
7748,11525-06,2017-04-12,"Modifica la ley Nº 18.700, orgánica constitucional sobre Votaciones Populares y Escrutinios, en materia de funcionamiento de los colegios escrutadores especiales",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11525-06
7749,11196-11,2017-04-13,Modifica el Código Sanitario en el sentido de exigir la realización de exámenes preventivos para asegurar la vida de la madre y del recién nacido,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11196-11
7750,11202-13,2017-04-18,"Modifica el Código del Trabajo para extender el fuero maternal, en caso de cambio de empleador por término del contrato de trabajo anterior",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11202-13
7751,11200-06,2017-04-18,Regula la elección de gobernadores regionales y realiza adecuaciones a diversos cuerpos legales,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11200-06
7752,11201-17,2017-04-18,Concede la nacionalidad por gracia al ciudadano norteamericano señor Steven Colon Santos.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11201-17
7753,11205-07,2017-04-27,"Modifica la ley N°19.628, Sobre Protección de la Vida Privada, en el sentido de permitir que el consentimiento para el tratamiento de los datos personales sea manifestado a través de medios electrónicos",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11205-07
7754,11206-07,2017-04-27,"Modifica la ley N°19.628, Sobre Protección de la Vida Privada, con el objeto de incorporar, como dato sensible, aquel vinculado a menores de edad",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11206-07
7755,11207-05,2017-04-27,"Modifica la ley N°19.863, Sobre remuneraciones de autoridades de gobierno y cargos críticos de la Administración Publica y normas sobre gastos reservados, para exigir la realización de una auditoría a las autoridades que indica, en tiempos de campañas electorales",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11207-05
7756,11203-21,2017-04-28,"Interpreta el artículo 4° de la ley N° 20.825, que amplía el plazo de cierre para otorgar nuevas concesiones en acuicultura, en lo relativo a la expresión `acuicultura de pequeña escala`.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11203-21
7757,11204-07,2017-04-28,"Modifica el Código Civil, en lo relativo a la revisión judicial de contratos civiles y  mercantiles, en los casos que indica.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11204-07
7758,11208-13,2017-04-28,Sobre protección de los derechos de los trabajadores en la era digital.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11208-13
7759,11077-07,2017-05-01,Sobre el derecho de las mujeres a una vida libre de violencia,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11077-07
7760,11181-18,2017-05-04,Modifica diversos cuerpos legales con el objeto de establecer medidas en materia de educación y trabajo que garanticen la igualdad de género,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11181-18
7761,11184-04,2017-05-04,Denomina al aeródromo de Cochrane con el nombre de ´Ernesto Hein Águila´.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11184-04
7762,11320-06,2017-05-07,"Modifica la ley N° 19.995 que Establece las bases generales para la autorización, funcionamiento y fiscalización de casinos de juego y dispone otras normas en relación con las medidas de seguridad exigibles a la actividad de operación de tales instalaciones",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11320-06
7763,11319-06,2017-05-07,"Modifica la ley N°19.995, que Establece las bases generales para la autorización, funcionamiento y fiscalización de casinos de juego; y el Código Penal, en materia de exigencias de medidas de seguridad tanto para público como para trabajadores de dichas instalaciones",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11319-06
7764,11309-06,2017-05-07,"Modifica la ley N°18.700, orgánica constitucional sobre votaciones populares y escrutinios, a fin de considerar escaños reservados para representantes de pueblos originarios de Chile.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11309-06
7765,11311-21,2017-05-07,"Modifica la ley N° 18.892, General de Pesca y Acuicultura, con el objeto de considerar a las marejadas como fuerza mayor, para evitar la caducidad de la inscripción de los pescadores artesanales en el Registro respectivo",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11311-21
7766,11312-31,2017-05-07,"Modifica la ley N° 20.422, que Establece normas sobre igualdad de oportunidades e inclusión social de personas con discapacidad, en lo que respecta a la vigencia de la credencial de inscripción en el Registro Nacional de la Discapacidad",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11312-31
7767,11422-07,2017-05-09,"Modifica diversos cuerpos legales para regular, en igualdad de condiciones, el matrimonio de parejas del mismo sexo.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11422-07
7768,11425-06,2017-05-09,"Modifica la ley N°18.700, orgánica constitucional sobre Votaciones Populares y Escrutinios, en materia de organización y participación en debates de candidatos presidenciales",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11425-06
7769,11423-13,2017-05-09,"Modifica la ley N°18.696, con el objeto de establecer la exigencia que indica, para proteger a los trabajadores de los taxis colectivos urbanos de la radiación solar",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11423-13
7770,11527-07,2017-05-12,"Para modificar el Código Penal a fin de evitar que la infidelidad o los celos configuren la atenuante del N°5 del artículo 11, en los delitos de parricidio, femicidio y lesiones.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11527-07
7771,11530-06,2017-05-12,"Declara feriado el 16 de enero de 2018 en la Región Metropolitana, con motivo de la visita del Papa Francisco",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11530-06
7772,11529-14,2017-05-12,"Modifica el inciso tercero del artículo primero transitorio de la ley N° 20.422, que establece normas sobre igualdad de oportunidades e inclusión social de personas con discapacidad, para extender el plazo de adecuación a normas de accesibilidad para edificios de uso público o que presten un servicio a la comunidad.",rechazado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11529-14
7773,11526-06,2017-05-12,"Modifica las leyes N°s 18.700, orgánica constitucional sobre votaciones populares y escrutinios, y 19.884, sobre transparencia, limite y control del gasto electoral, para incorporar normas sobre transparencia activa respecto de las personas jurídicas que realicen encuestas electorales.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11526-06
7774,11528-10,2017-05-12,"Aprueba el Convenio entre el Gobierno de la República de Chile y el Gobierno de la República Oriental del Uruguay para Eliminar la Doble Imposición con Relación a los Impuestos sobre la Renta y sobre el Patrimonio y para Prevenir la Evasión y Elusión Fiscal y su Protocolo, suscritos en Montevideo, República Oriental del Uruguay, el 1 de abril de 2016",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11528-10
7775,11234-04,2017-05-16,"Modifica la ley N° 19.712, del Deporte, para promover la inclusión y representatividad de personas pertenecientes a etnias indígenas en actividades deportivas.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11234-04
7776,11232-03,2017-05-16,"Modifica la ley N° 19.496, que Establece Normas Sobre Protección de los Derechos de los Consumidores, para aumentar el plazo establecido para ejercer el derecho a retracto, en el caso de los adultos mayores",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11232-03
7777,11233-03,2017-05-16,"Modifica la ley N° 19.628, Sobre Protección de la Vida Privada, en el sentido de sancionar a las entidades responsables de registros o bancos de datos personales en el caso que indica",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11233-03
7778,11236-06,2017-05-17,"Declara feriado el 28 de diciembre de 2017 para la comuna de Lanco, por única vez, y en lo sucesivo, la misma fecha cada cien años",suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11236-06
7779,11235-24,2017-05-17,Establece el 7 de febrero de cada año como el Día Nacional por la No Violencia en el Pololeo,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11235-24
7780,11242-06,2017-05-18,"Modifica la ley N°18.695, orgánica constitucional de Municipalidades, respecto de la prohibición de parentesco entre el alcalde y los concejales en caso de pertenecer a pueblos indígenas",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11242-06
7781,11241-18,2017-05-18,Modifica el Código Civil para impedir que el padre o madre condenado por violencia intrafamiliar o con antecedentes de maltrato habitual ejerza el cuidado personal de los hijos,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11241-18
7782,11238-07,2017-05-18,Modifica el Código Penal con el objeto de aumentar las penas aplicables a los delitos de homicidio y de lesiones,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11238-07
7783,11240-31,2017-05-18,"Modifica la ley N°20.422, que Establece normas sobre igualdad de oportunidades e inclusión social de personas con discapacidad, en el sentido de establecer una definición de discapacidad social que comprenda el síndrome de Asperger y otros trastornos del espectro autista",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11240-31
7784,11239-07,2017-05-18,"Modifica la ley N°19.628, Sobre Protección de la Vida Privada, en materia de tratamiento de datos de menores de edad",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11239-07
7785,11243-25,2017-05-23,Modifica diversos cuerpos legales con el objeto de sancionar las conductas que indica y establecer medidas para resguardar la seguridad de los espacios comunes de condominios sujetos al régimen de copropiedad,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11243-25
7786,11244-11,2017-05-29,Prohíbe la distribución de alimentos que contengan carbohidratos refinados en los establecimientos educacionales.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11244-11
7787,11245-17,2017-05-29,"Designa al Instituto Nacional de Derechos Humanos como el Mecanismo Nacional de Prevención contra la Tortura y otros Tratos o Penas Crueles, Inhumanos o Degradantes",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11245-17
7788,11246-07,2017-05-30,Modifica el Código Procesal Penal en materia de procedencia de las medidas cautelares reales sin necesidad de formalización previa,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11246-07
7789,11247-06,2017-05-30,"Modifica el decreto ley N°1.094, que Establece Normas sobre Extranjeros en Chile, con el objeto de disponer la expulsión inmediata de quienes ingresen al país por pasos no habilitados",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11247-06
7790,11248-15,2017-05-30,Impide la doble sanción por circular sin dispositivo electrónico (TAG) en los caminos públicos en que opere un sistema electrónico de cobros de tarifas o peajes.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11248-15
7791,11252-13,2017-05-31,"Modifica el Código del Trabajo, para facilitar el ejercicio del derecho a sala cuna respecto de menores con problemas de salud",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11252-13
7792,11294-11,2017-05-31,"Establece la calidad recíproca de carga familiar entre ambos cónyuges, para efectos de las prestaciones de salud que otorga la ley",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11294-11
7793,11250-06,2017-05-31,"Declara como feriado, para la comuna de Valparaíso, el día 1 de junio de cada año, con ocasión de la cuenta pública presidencial",suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11250-06
7794,11249-06,2017-05-31,"Modifica la ley N° 18.556 y el Código Procesal Penal, para garantizar el derecho a sufragio de las personas privadas de libertad que se encuentren habilitadas para sufragar",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11249-06
7795,11251-13,2017-05-31,"Modifica el Código del Trabajo, para ampliar el universo de trabajadoras con derecho a sala cuna",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11251-13
7796,11253-15,2017-05-31,"Modifica las leyes N°s 18.290 y 20.422, en el sentido de establecer excepciones en materia de detención de vehículos para facilitar el traslado de personas con discapacidad",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11253-15
7797,11187-13,2017-06-04,Modifica el Código del Trabajo con el objeto de incorporar el contrato especial de funcionarios de apoyo al ejercicio de la función parlamentaria,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11187-13
7798,11188-17,2017-06-04,"Modifica la ley N°19.253, que Establece normas sobre protección, fomento y desarrollo de los indígenas, y crea la Corporación Nacional de Desarrollo Indígena, para reconocer al pueblo chango como etnia indígena de Chile",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11188-17
7799,11185-19,2017-06-04,"Establece acceso gratuito a eventos que declara de interés general, a través de los servicios de radiodifusión televisiva",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11185-19
7800,11189-15,2017-06-04,"Modifica la ley N°18.290, de Tránsito, con el objeto de incorporar la categoría de vehículos de transporte de pasajeros y de carga para sectores rurales",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11189-15
7801,11256-12,2017-06-06,Modifica diversos cuerpos legales con el objetivo de proteger los humedales urbanos.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11256-12
7802,11255-04,2017-06-06,Sobre universidades del Estado.,rechazado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11255-04
7803,11321-06,2017-06-07,"Modifica la ley N° 19.995, que Establece las bases generales para la autorización, funcionamiento y fiscalización de casinos de juego, con el objeto de imponer exigencias y sanciones en relación con el ingreso a estos establecimientos en los casos que indica",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11321-06
7804,11314-25,2017-06-07,"Modifica la ley N° 20.931, que Facilita la aplicación efectiva de las penas establecidas para los delitos de robo, hurto y receptación y mejora la persecución penal en dichos delitos, en materia de control preventivo de identidad",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11314-25
7805,11313-18,2017-06-07,"Modifica el Código Civil, en materia de administración de los bienes propios de la mujer casada bajo el régimen de sociedad conyugal",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11313-18
7806,11426-06,2017-06-09,Declara el 21 de septiembre de cada año como feriado permanente en la Región de Magallanes y la Provincia de Chiloé.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11426-06
7807,11424-17,2017-06-09,Tipifica el delito de incitación a la violencia,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11424-17
7808,11469-06,2017-06-10,Crea el Plan Especial de Inversiones para el Desarrollo Regional y Territorial de la Región de la Araucanía,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11469-06
7809,11486-11,2017-06-11,Delega facultades para la modificación de las plantas de personal de profesionales de los Servicios de Salud,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11486-11
7810,11535-09,2017-06-12,Modifica la Ley General de Servicios Sanitarios para consagrar como un derecho humano el acceso al agua y regular la suspensión de su suministro.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11535-09
7811,11532-07,2017-06-12,Para introducir un artículo nuevo en el Código Civil para regular la imprevisión contractual.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11532-07
7812,11531-07,2017-06-12,Modifica el Código Penal para sancionar la figura de la asociación ilícita constituida para abusar de la credulidad de las personas.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11531-07
